region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mbeya,Mbarali Dc,125624-7,JILALA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Simiyu,Itilima Dc,125622-1,DIZAYA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125621-3,COMMUNITY HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Shinyanga,Kahama Tc,125618-9,RK MUWEZA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Iringa,Iringa Dc,125617-1,EMATU,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Kagera,Kyerwa Dc,125616-3,UPENDO,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Morogoro,Morogoro Dc,125614-8,VJ,Optometry Clinic,Kliniki,Private,For Profit,Operating
Coast,Bagamoyo Dc,125613-0,UNICARE,Medical Clinic,Kliniki,Private,For Profit,Operating
Arusha,Arusha Cc,125611-4,SMYLISHA,Specialised Dental Clinic,Kliniki,Private,For Profit,Operating
Kilimanjaro,Moshi Dc,125609-8,KIUSA,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,125608-0,RENA,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125607-2,4E,Optometry Clinic,Kliniki,Private,For Profit,Operating
Singida,Singida Dc,125606-4,OPTIHOPE,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125605-6,EYE WELLNESS,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125604-9,AIZAR OPTOMETERY,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125603-1,SAN PEDRO,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125602-3,DR. AGARWALS,Optometry Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Dar Es Salaam,Temeke Mc,125595-9,SHILOBEST,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125594-2,CATALYST CHILD DEVELOPMENT,Physiotherapy Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kigamboni Mc,125593-4,RCM,Medical Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Buchosa Dc,125591-8,NYAKASUNGWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Ilala Mc,125590-0,AURREVIA,Basic Dental Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Dar Es Salaam,Kigamboni Mc,125589-2,SMILUNA,Comprehensive Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125588-4,FAMILY HEALTH CARE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125587-6,EVERWELL,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125586-8,BJN,PolyClinic,Kliniki,Private,For Profit,Operating
Shinyanga,Msalala Dc,125585-0,MZALENDO,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,125584-3,GOSHEN SERVICES,Nursing Home,Kituo cha Uzazi,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125583-5,NYUMBANI,Nursing Home,Kituo cha Uzazi,Private,Company/Business Name,Operating
Iringa,Iringa Dc,125578-5,JF MEDICARE,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125577-7,NAVAN,Specialised Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125576-9,MAKIA,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125575-1,RECKHAB SERVICE LIMITED,Prosthetics and Orthotics clinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Monduli Dc,125574-4,MATRIX,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,125572-8,IBRA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,125571-0,MEDMACK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,125569-4,AGA SON HEALTH CARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Chamwino Dc,125565-2,YANRISH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Moshi Dc,125564-5,CORNERSTONE,Level III Single purpose Health Laboratory,Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,125563-7,HORIZON,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Gairo Dc,125561-1,BANANA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,125560-3,MWAMI MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Arusha,Monduli Dc,125559-5,BALBINA HEALTH CARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,125558-7,PRIMESTAR,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Mbulu Dc,125557-9,EBENEZER HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Karatu Dc,125556-1,SHARON DIGITAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,125555-3,SAFE MASHA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Chamwino Dc,125554-6,KAFUMU MEDICAL,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Manyara,Mbulu Dc,125553-8,SHALOM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Babati Dc,125552-0,SIWA HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Butiama Dc,125551-2,CHIEF,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Geita,Geita Dc,125550-4,MAJALIWA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Butiama Dc,125549-6,RF HEALTH SERVICE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Musoma Dc,125548-8,MALAIKA MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Geita,Geita Dc,125547-0,GIFT MKOMBOZI HEALTH CARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Rukwa,Sumbawanga Dc,125546-2,IVAN MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,125544-7,CPJ,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Coast,Bagamoyo Dc,125543-9,HAVEN 3D,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125541-3,NOELLA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125540-5,ELMART,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125539-7,CEK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Mbulu Dc,125535-5,KITUO CHA AFYA CHA KIMKAKATI MAMAGI DINAMU.,Health Center,Kituo cha Afya,Public,LGA,Operating
Geita,Geita Dc,125527-2,IKWALA MEDICS,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Songwe,Songwe Dc,125525-6,EMMAKULATA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Njombe,Njombe Dc,125524-9,MIRACLE,Specialised Clinic,Kliniki,Private,For Profit,Operating
Geita,Geita Dc,125523-1,DEVINE AID,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Geita,Geita Dc,125522-3,ANATORIA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Songwe,Mbozi Dc,125521-5,SICHONE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Tanga,Kilindi Dc,125519-9,KITE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Njombe,Makambako Tc,125518-1,PRECISION,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mbeya,Rungwe Dc,125517-3,WILHEM M-,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Njombe,Makete Dc,125516-5,VANGIBOMA,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Geita,Geita Dc,125515-7,BILIA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mbeya,Mbeya Cc,125514-0,HEKIMA MBEYA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Buchosa Dc,125513-2,UJAMAA,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Geita,Geita Dc,125512-4,BULEBO,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,125508-2,INSTITUTE OF ACCOUNTANCY ARUSHA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125507-4,ARAFA BRAVOO,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dodoma,Dodoma Cc,125505-8,Furaha Medical,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,125504-1,SULULU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Madaba Dc,125503-3,GUMBIRO,Health Center,Kituo cha Afya,Public,LGA,Operating
Lindi,Kilwa Dc,125501-7,AL-AZIM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Lindi,Kilwa Dc,125500-9,TIBA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Investor(For Foreigners),Operating
Ruvuma,Songea Dc,125499-4,SAMORA,PolyClinic,Kliniki,Private,For Profit,Operating
Arusha,Arusha Cc,125492-9,RAFIKI DISPENSARY,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125491-1,786 KHAYTAWA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125490-3,HAZRAT ALIASGHER,General Clinic,Kliniki,Private,NGOs,Operating
Dar Es Salaam,Temeke Mc,125489-5,UCHINDILE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Tanga,Handeni Dc,125488-7,DR. SEFU,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Arusha,Arusha Cc,125487-9,Faraja,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125485-3,NGAZA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Ruvuma,Tunduru Dc,125484-6,ELOHIM,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Arusha,Meru Dc,125483-8,SAIDIA HEALTH,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Arusha,Arusha Cc,125482-0,EBEN,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Tanga,Tanga Cc,125481-2,ROYALCARE,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Ruvuma,Mbinga Dc,125479-6,Chekelea,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Coast,Kibaha Dc,125478-8,GRASBON,Eye Clinic,Kliniki,Private,For Profit,Operating
Dodoma,Dodoma Cc,125477-0,AREA A,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125475-4,MANSOURCARE,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125473-9,ABINOBE,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125472-1,CHIHONI MEDICAL CENTER,Dispensary,Zahanati (Dispensary),Private,NGOs,Operating
Arusha,Arusha Cc,125471-3,RADIANTCARE,Specialized Polyclinic,Kliniki,Private,For Profit,Operating
Arusha,Longido Dc,125470-5,VALENECK,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Ruvuma,Songea Dc,125469-7,ST. VINCENT- MKENDA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dodoma,Dodoma Cc,125467-1,NANGUBA HEALTHCARE SERVICES LIMITED,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Ruvuma,Nyasa Dc,125462-2,MIPOTOPOTO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,125461-4,MAGOMENI KAGERA,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Iringa,Iringa Dc,125457-2,GENESIS,Specialised Eye Clinic,Kliniki,Private,For Profit,Operating
Shinyanga,Shinyanga Dc,125456-4,SHINYANGA GIRLS,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Moshi Dc,125455-6,EVAMA PRIRMAT,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Arusha,Arusha Cc,125454-9,ARUSHA PEDIATRICS AND MATERNAL CARE,Specialized Polyclinic,Kliniki,Private,NGOs,Operating
Kagera,Missenyi Dc,125453-1,TS,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Shinyanga,Kahama Tc,125450-7,GETAMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Shinyanga,Kahama Tc,125449-9,DEBLA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Mtwara,Mtwara Dc,125448-1,LILIDO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125444-0,RK MALUMALU,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Tanga,Handeni Dc,125442-4,KABUKU HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Buchosa Dc,125441-6,EL BLESSING HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,125440-8,ROCKY CITY HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Handeni Dc,125439-0,NDOHELE MAABARA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Kilindi Dc,125438-2,MKINDI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Tanga Cc,125437-4,SHYZZA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Handeni Dc,125436-6,MACHOKORO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Geita,Bukombe Dc,125435-8,DN HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Tanga,Korogwe Dc,125434-1,ST. LEOKADIA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Misungwi Dc,125433-3,MF,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Handeni Dc,125432-5,MMBALI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Kwimba Dc,125431-7,KIVURUGA HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Handeni Dc,125430-9,YANRISH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Kilindi Dc,125429-1,MAFISA HEALTH CARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Kilindi Dc,125427-5,WISDOM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Geita,Mbogwe Dc,125426-7,AGANO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Gairo Dc,125425-9,ACLANE USALAMA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Tanga,Kilindi Dc,125423-4,NZUMBE MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Buchosa Dc,125422-6,JJ HEALTH CARE,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,Company/Business Name,Operating
Tanga,Korogwe Dc,125421-8,MAKUYUNI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Iringa,Mufindi Dc,125420-0,KABULANYA MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Njombe,Ludewa Dc,125419-2,MBOBOYU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Iringa,Mufindi Dc,125418-4,CN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Muheza Dc,125417-6,CLEPHAM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,125416-8,CHOICE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Kilimanjaro,Hai Dc,125415-0,JJ HEALTH CARE,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,Company/Business Name,Operating
Tanga,Muheza Dc,125414-3,EMPOWER LIFE INITIATIVES SERVICES,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Tanga,Handeni Dc,125413-5,SHABAHA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Korogwe Dc,125412-7,KUSAFO HEALTH SERVICES,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Kilindi Dc,125411-9,BEWELL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Korogwe Dc,125410-1,GOSHENI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Tanga,Handeni Dc,125409-3,JK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Handeni Dc,125408-5,GABEN TOWN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Tanga Cc,125407-7,ALLYBABA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Korogwe Dc,125406-9,GASTO HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Tanga Cc,125405-1,KHALID,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Tanga,Muheza Dc,125404-4,ZULU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,125403-6,GOLDEN,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125402-8,MHCC,Specialised Clinic,Kliniki,Private,Company/Business Name,Operating
Kagera,Karagwe Dc,125401-0,MISHA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,125400-2,KONDE AND DIAKONIA CENTRE,Hospital at District Level,Hospitali ya Wilaya,Private,Faith Based Organization (FBO),Operating
Songwe,Mbozi Dc,125397-0,TEGEMEO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Songwe,Songwe Dc,125396-2,SEE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125395-4,SIGANDA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125394-7,ORHAN MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125393-9,JO&#039;E,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125392-1,KULWA HEALTH,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,Company/Business Name,Operating
Songwe,Tunduma Tc,125391-3,MARY MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Kyela Dc,125390-5,MSEMAKWELI HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125389-7,CHRISS,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Mbeya Cc,125388-9,MAPELELE MAABARA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Mbeya,Mbeya Cc,125387-1,IGANJO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Mbeya Cc,125386-3,FURAHISHA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,125385-5,NGOLEA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125384-8,UHURU JR,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125383-0,NEW MACHA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125382-2,MEGIJ,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125381-4,SALUM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Kibaha Dc,125380-6,ND,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,NGOs,Operating
Morogoro,Ifakara Tc,125379-8,MAHIDA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125378-0,NURU MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125377-2,CHAMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125376-4,ELIJOAN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125375-6,THE WINNER,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125374-9,CERBA LANCET TANZANIA - MBEZI BEACH,Level IIA2 (District Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Dar Es Salaam,Kigamboni Mc,125373-1,LIVINGSTONE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125372-3,KIMBILIA TIBA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125371-5,SMART,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125370-7,SC. PAUL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125369-9,PTG HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125368-1,ARCHMEDES,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,125367-3,CIELO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125365-7,HEALTH-NET,Maternity and Nursing Home,Kituo cha Uzazi,Private,Company/Business Name,Operating
Morogoro,Ulanga Dc,125364-0,MELPA,Maternity and Nursing Home,Kituo cha Uzazi,Private,Company/Business Name,Operating
Tanga,Tanga Cc,125363-2,KANANA,Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125362-4,TEGETA M.S,Medical Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Coast,Mafia Dc,125361-6,NASSA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Tanga,Muheza Dc,125360-8,SPECZONE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Coast,Kibaha Dc,125359-0,MPEMBA HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125358-2,A H,Level IIA2 (District Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Morogoro,Gairo Dc,125355-8,NAMWAWALA,Health Center,Kituo cha Afya,Public,LGA,Operating
Ruvuma,Namtumbo Dc,125354-1,MANDEPWENDE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ubungo Mc,125350-9,GCC HEALTHCARE,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dodoma,Mpwapwa Dc,125347-5,MSANGAMBUYA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Mpwapwa Dc,125346-7,IYOMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,125345-9,THE NAIROBI IVF CENTER,Super Specialised Clinic,Kliniki,Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,125340-0,DEFENG,Medical Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Dodoma,Dodoma Cc,125339-2,IMANI,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,125338-4,GARMA,Physiotherapy Clinic,Kliniki,Private,For Profit,Operating
Kigoma,Kasulu Dc,125337-6,LORENE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,125336-8,NYAMONGO MAGAKA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Ilemela Mc,125335-0,ROYAL ZONAL REFERRAL HOSPITAL,Hospital at Zonal Level,Hospitali,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125321-0,REFINE,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125320-2,KARIAKOO,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Ilemela Mc,125319-4,MWANZA MS,Medical Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Iringa,Iringa Dc,125314-5,FMG,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Tabora,Nzega Dc,125312-9,BUDUSHI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Musoma Dc,125311-1,KILIMANI,PolyClinic,Kliniki,Private,Company/Business Name,Operating
