region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Dar Es Salaam,Ubungo Mc,121109-3,LINK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Mwanza,Magu Dc,121108-5,MUGINI SCHOOLS,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Buchosa Dc,121107-7,N.H.L,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Buchosa Dc,121106-9,BENEDICTO,Level IIA2 (District Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121105-1,JUMKI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121103-6,MASATU,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Mwanza,Ilemela Mc,121102-8,SAFINA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Rombo Dc,121101-0,BARAKA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121100-2,HEAD TO TOE,Super Specialised Clinic,Kliniki,Private,For Profit,Operating
Shinyanga,Shinyanga Dc,121099-6,ESTINA FARAJA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Songwe,Ileje Dc,121098-8,MICO ITUMBA,Dispensary,Zahanati (Dispensary),Private,NGOs,Operating
Dodoma,Dodoma Cc,121097-0,SIBE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Geita,Geita Dc,121096-2,KAYENZE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,NGOs,Operating
Dar Es Salaam,Ilala Mc,121095-4,ST. ETHAN,PolyClinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121093-9,ELIDAD,Hospital at Regional Level,Hospitali ya Mkoa (Rufaa),Private,For Profit,Operating
Arusha,Arusha Cc,121092-1,BEKESA,PolyClinic,Kliniki,Private,For Profit,Operating
