code,name
S.0269,ANWARITE GIRLS' SECONDARY SCHOOL
S.0270,ST. GETRUDE GIRLS' SECONDARY SCHOOL
S.0271,MANYUNYU SECONDARY SCHOOL
S.0273,ST. AGNES KWIRO GIRLS' SECONDARY SCHOOL
S.0274,SUNSHINE SECONDARY SCHOOL
S.0275,GLENRONS GIRLS' SECONDARY SCHOOL
S.0277,SPRING VALLEY GIRLS' SECONDARY SCHOOL
S.0278,IGUMBILO SECONDARY SCHOOL
S.0279,EMMABERG GIRLS' SECONDARY SCHOOL
S.0280,UMMU-SALAMA SECONDARY SCHOOL
S.0282,MISSION NJOMBE GIRLS' SECONDARY SCHOOL
S.0283,JOHN THE BAPTIST SECONDARY SCHOOL
S.0284,RONECA GIRLS' SECONDARY SCHOOL
S.0285,ST. THERESIA GIRLS'' SECONDARY SCHOOL
S.0286,JAMES SANGU SECONDARY SCHOOL
S.0287,KIPOK GIRLS' SECONDARY SCHOOL
S.0289,SOLACE GIRLS' SECONDARY SCHOOL
S.0291,GHOMME SECONDARY SCHOOL
S.0293,ATHENA SECONDARY SCHOOL
S.0294,MT. CARMEL SECONDARY SCHOOL
S.0295,PRECIOUS BLOOD SECONDARY SCHOOL
S.0296,BWERANYANGE GIRLS' SECONDARY SCHOOL
S.0297,QUEEN OF FAMILY SECONDARY SCHOOL
S.0298,FEZA GIRLS' SECONDARY SCHOOL
S.0302,ARUSHA SECONDARY SCHOOL
S.0304,BUKOBA SECONDARY SCHOOL
S.0305,BULUBA SECONDARY SCHOOL
S.0306,DODOMA SECONDARY SCHOOL
S.0307,DODOMA CENTRAL SECONDARY SCHOOL
S.0308,ENABOISHU SECONDARY SCHOOL
S.0310,FOREST HILL SECONDARY SCHOOL
S.0312,HIGHLANDS SECONDARY SCHOOL
S.0313,IKIZU SECONDARY SCHOOL
S.0314,KAZIMA SECONDARY SCHOOL
S.0316,KIBASILA SECONDARY SCHOOL
S.0318,KIBOHEHE SECONDARY SCHOOL
S.0323,LAKE SECONDARY SCHOOL
S.0324,LINDI SECONDARY SCHOOL
S.0325,LUGALO SECONDARY SCHOOL
S.0328,MAWENZI SECONDARY SCHOOL
S.0329,MAKUMIRA SECONDARY SCHOOL
S.0330,MBEYA SECONDARY SCHOOL
S.0331,MKONGE SECONDARY SCHOOL
S.0332,MOROGORO SECONDARY SCHOOL
S.0333,MWANZA SECONDARY SCHOOL
S.0335,MZIZIMA SECONDARY SCHOOL
S.0340,POPATLAL SECONDARY SCHOOL
S.0341,SANGU SECONDARY SCHOOL
S.0342,SHAABAN ROBERT SECONDARY SCHOOL
S.0345,USAGARA SECONDARY SCHOOL
S.0346,UYUI SECONDARY SCHOOL
S.0348,TUMAINI SECONDARY SCHOOL
S.0349,MANKA SECONDARY SCHOOL
S.0353,PARANE SECONDARY SCHOOL
S.0354,JITENGENI SECONDARY SCHOOL
S.0355,LOMWE SECONDARY SCHOOL
S.0356,VUNJO SECONDARY SCHOOL
S.0357,URU SECONDARY SCHOOL
S.0358,SHIGHATINI SECONDARY SCHOOL
S.0359,KIGURUNYEMBE SECONDARY SCHOOL
S.0360,KISHOJU SECONDARY SCHOOL
S.0361,SINGE SECONDARY SCHOOL
S.0362,IHANJA SECONDARY SCHOOL
S.0363,MWADUI SECONDARY SCHOOL
S.0367,KILOSA SECONDARY SCHOOL
S.0368,IMBORU SECONDARY SCHOOL
S.0371,LOMBETA SECONDARY SCHOOL
S.0372,KIRUA SECONDARY SCHOOL
S.0373,ITOPE SECONDARY SCHOOL
S.0374,LUPATA SECONDARY SCHOOL
S.0375,JUMUIYA SECONDARY SCHOOL
S.0376,SONI SEMINARY
S.0378,HEGONGO HOLY CROSS SECONDARY SCHOOL
S.0380,UCHAMA SECONDARY SCHOOL
S.0385,UJIJI SECONDARY SCHOOL
S.0386,GEITA SECONDARY SCHOOL
S.0387,KARAGWE SECONDARY SCHOOL
S.0388,MARANGU SECONDARY SCHOOL
S.0389,SHAURITANGA SECONDARY SCHOOL
S.0397,RULENGE SECONDARY SCHOOL
S.0401,NAMFUA SECONDARY SCHOOL
